,state_name:,county:,5/16,5/17
0,AB,Unassigned,16,16
1,BC,Fraser Region,862,862
2,BC,Interior Region,175,175
3,BC,Vancouver Island Region,121,121
4,BC,Northern Region,59,59
5,BC,Unassigned,18,18
6,BC,Vancouver Coastal Health Region,697,697
7,MB,Unassigned,257,257
8,NB,Unassigned,120,120
9,NS,Unassigned,930,930
10,NT,Northwest Territories,5,5
11,ON,Unassigned,608,947
12,PE,Queens,18,18
13,QC,Unassigned,11458,11458
14,SK,Unassigned,0,0
15,YT,Unassigned,11,11
16,SK,Far North,90,90
17,SK,North,92,92
18,SK,Central,10,10
19,SK,Saskatoon,152,152
20,SK,South,15,15
21,SK,Regina,74,74
22,ON,Waterloo,578,578
23,ON,Brant,93,93
24,ON,Algoma,13,13
25,ON,Durham,883,883
26,ON,Chatham-Kent,85,85
27,ON,Eastern Ontario,73,73
28,ON,Grey Bruce,77,77
29,ON,Haldimand-Norfolk,79,79
30,ON,Haliburton-Kawartha Lakes-Pineridge,133,133
31,ON,Hamilton,378,378
32,ON,"Kingston,\xa0Frontenac-Lennox & Addington",62,62
33,ON,Lambton,163,163
34,ON,Middlesex-London,324,324
35,ON,Niagara,433,433
36,ON,North Bay-Nipissing-Parry Sound*,20,20
37,ON,Northwestern*,18,18
38,ON,Renfrew Region County & Districts,14,14
39,ON,Porcupine,52,53
40,ON,Peterborough,68,68
41,ON,Simcoe-Muskoka*,270,270
42,ON,Southwestern,55,55
43,ON,Thunder Bay,74,74
44,ON,Timiskaming,18,18
45,ON,Toronto,6189,6189
46,ON,Wellington-Dufferin-Guelph,194,194
47,ON,Windsor Essex,407,407
48,ON,York,1004,1004
49,NL,Western,4,4
50,NL,Central,8,8
51,NL,Eastern,231,231
52,NL,Labrador Grenfell,6,6
53,ON,Halton,472,472
54,ON,Peel Region,2485,2485
55,NL,Unassigned,0,0
56,ON,Public Health Sudbury & Districts*,59,59
57,ON,"Leeds, Grenville & Lanark*",210,210
58,ON,Ottawa,1355,1355
59,ON,Huron Perth*,44,44
60,ON,Hastings-Prince Edward*,30,30
61,NU,Unassigned,0,0
62,Diamond Princess,Unassigned,0,0
63,Grand Princess/Repatriations,Canadian Forces Base Trenton,2,2
64,Grand Princess/Repatriations,Grand Princess,10,10
65,Grand Princess/Repatriations,Mississauga,1,1
66,AB,Calgary,3553,3553
67,AB,Central,88,88
68,AB,Edmonton,446,446
69,AB,North,196,196
70,AB,South,1078,1078
71,PE,Kings,1,1
72,PE,Prince,8,8
73,AK,Anchorage,199,199
74,AK,Fairbanks North Star,84,84
75,AK,Juneau,29,29
76,AK,Kenai Peninsula,24,24
77,AK,Ketchikan Gateway,16,16
78,AK,Matanuska-Susitna,21,21
79,AL,Autauga,110,110
80,AL,Baldwin,254,254
81,AL,Bibb,50,50
82,AL,Blount,45,45
83,AL,Bullock,35,35
84,AL,Butler,271,271
85,AL,Calhoun,130,130
86,AL,Chambers,328,328
87,AL,Cherokee,27,27
88,AL,Chilton,77,77
89,AL,Choctaw,84,84
90,AL,Clarke,74,74
91,AL,Clay,27,27
92,AL,Cleburne,13,13
93,AL,Colbert,87,89
94,AL,Conecuh,18,18
95,AL,Coosa,34,34
96,AL,Covington,57,57
97,AL,Crenshaw,53,53
98,AL,Cullman,69,69
99,AL,Dale,60,60
100,AL,Dallas,145,145
101,AL,DeKalb,192,192
102,AL,Elmore,188,189
103,AL,Escambia,39,39
104,AL,Etowah,202,202
105,AL,Fayette,9,9
106,AL,Franklin,329,333
107,AL,Greene,81,81
108,AL,Hale,84,84
109,AL,Houston,132,132
110,AL,Jackson,63,63
111,AL,Jefferson,1299,1309
112,AL,Lamar,15,15
113,AL,Lauderdale,113,113
114,AL,Lawrence,29,29
115,AL,Lee,448,449
116,AL,Limestone,64,64
117,AL,Lowndes,128,128
118,AL,Macon,55,55
119,AL,Madison,275,275
120,AL,Marengo,102,102
121,AL,Marion,101,101
122,AL,Marshall,624,624
123,AL,Mobile,1681,1682
124,AL,Monroe,19,20
125,AL,Montgomery,816,818
126,AL,Morgan,110,110
127,AL,Pickens,77,77
128,AL,Pike,106,106
129,AL,Randolph,119,119
130,AL,Russell,100,100
131,AL,Shelby,398,398
132,AL,St. Clair,90,90
133,AL,Sumter,124,125
134,AL,Talladega,78,78
135,AL,Tallapoosa,357,357
136,AL,Tuscaloosa,345,345
137,AL,Walker,126,126
138,AL,Washington,60,60
139,AL,Wilcox,93,93
140,AL,Winston,33,34
141,AR,Arkansas,2,2
142,AR,Ashley,18,18
143,AR,Baxter,6,6
144,AR,Benton,144,144
145,AR,Boone,4,4
146,AR,Bradley,15,15
147,AR,Carroll,6,6
148,AR,Chicot,10,10
149,AR,Clark,35,35
150,AR,Cleburne,72,72
151,AR,Cleveland,16,16
152,AR,Columbia,15,15
153,AR,Conway,14,14
154,AR,Craighead,137,137
155,AR,Crawford,11,11
156,AR,Crittenden,230,230
157,AR,Cross,35,35
158,AR,Desha,18,18
159,AR,Drew,19,19
160,AR,Faulkner,91,91
161,AR,Garland,129,129
162,AR,Grant,16,16
163,AR,Greene,24,24
164,AR,Hempstead,9,9
165,AR,Hot Spring,29,29
166,AR,Howard,14,14
167,AR,Independence,25,25
168,AR,Jefferson,362,362
169,AR,Johnson,35,35
170,AR,Lawrence,73,73
171,AR,Lee,10,10
172,AR,Lincoln,955,955
173,AR,Lonoke,45,45
174,AR,Miller,42,42
175,AR,Nevada,4,4
176,AR,Newton,3,3
177,AR,Perry,12,12
178,AR,Pike,3,3
179,AR,Poinsett,26,26
180,AR,Polk,7,7
181,AR,Pope,63,63
182,AR,Pulaski,683,683
183,AR,Randolph,22,22
184,AR,Saline,81,81
185,AR,Scott,1,1
186,AR,Searcy,6,6
187,AR,Sebastian,15,15
188,AR,Sevier,27,27
189,AR,St. Francis,335,335
190,AR,Stone,8,8
191,AR,Unassigned,131,131
192,AR,Union,107,107
193,AR,Van Buren,28,28
194,AR,Washington,141,141
195,AR,White,36,36
196,AR,Woodruff,1,1
197,AZ,Apache,962,962
198,AZ,Cochise,46,46
199,AZ,Coconino,839,839
200,AZ,Gila,22,22
201,AZ,Graham,20,20
202,AZ,Greenlee,2,2
203,AZ,La Paz,37,37
204,AZ,Maricopa,7096,7096
205,AZ,Mohave,250,250
206,AZ,Navajo,1238,1238
207,AZ,Pima,1781,1781
208,AZ,Pinal,678,678
209,AZ,Santa Cruz,72,72
210,AZ,Unassigned,0,0
211,AZ,Yavapai,260,260
212,AZ,Yuma,363,363
213,CA,Alameda,2351,2351
214,CA,Alpine,2,2
215,CA,Amador,9,9
216,CA,Butte,22,22
217,CA,Calaveras,13,13
218,CA,Colusa,3,3
219,CA,Contra Costa,1121,1121
220,CA,El Dorado,64,64
221,CA,Fresno,1192,1192
222,CA,Glenn,9,9
223,CA,Humboldt,77,77
224,CA,Imperial,786,786
225,CA,Inyo,19,19
226,CA,Kern,1473,1473
227,CA,Kings,392,392
228,CA,Los Angeles,37374,37374
229,CA,Madera,70,70
230,CA,Marin,299,299
231,CA,Mendocino,13,13
232,CA,Merced,200,200
233,CA,Mono,33,33
234,CA,Monterey,328,328
235,CA,Napa,90,90
236,CA,Nevada,41,41
237,CA,Orange,4222,4222
238,CA,Placer,174,174
239,CA,Plumas,4,4
240,CA,Riverside,5618,5618
241,CA,Sacramento,1222,1222
242,CA,San Benito,61,61
243,CA,San Bernardino,3463,3463
244,CA,San Diego,5662,5662
245,CA,San Francisco,2054,2054
246,CA,San Joaquin,670,670
247,CA,San Luis Obispo,243,243
248,CA,San Mateo,1602,1602
249,CA,Santa Barbara,1418,1418
250,CA,Santa Clara,2418,2418
251,CA,Santa Cruz,157,157
252,CA,Shasta,34,34
253,CA,Siskiyou,5,5
254,CA,Solano,410,410
255,CA,Sonoma,373,373
256,CA,Stanislaus,559,559
257,CA,Sutter,38,38
258,CA,Tulare,1426,1426
259,CA,Tuolumne,2,2
260,CA,Unassigned,0,0
261,CA,Ventura,764,764
262,CA,Yolo,183,183
263,CA,Yuba,25,25
264,CO,Adams,2575,2575
265,CO,Alamosa,39,39
266,CO,Arapahoe,3652,3652
267,CO,Archuleta,8,8
268,CO,Baca,12,12
269,CO,Boulder,835,835
270,CO,Broomfield,209,209
271,CO,Chaffee,69,69
272,CO,Clear Creek,16,16
273,CO,Costilla,4,4
274,CO,Crowley,39,39
275,CO,Delta,55,55
276,CO,Denver,4548,4548
277,CO,Douglas,637,637
278,CO,Eagle,570,570
279,CO,El Paso,1291,1291
280,CO,Elbert,44,44
281,CO,Fremont,25,25
282,CO,Garfield,113,113
283,CO,Grand,5,5
284,CO,Gunnison,182,182
285,CO,Hinsdale,3,3
286,CO,Huerfano,3,3
287,CO,Jefferson,1800,1800
288,CO,Kit Carson,26,26
289,CO,La Plata,68,68
290,CO,Lake,26,26
291,CO,Larimer,485,485
292,CO,Lincoln,3,3
293,CO,Logan,485,485
294,CO,Mesa,53,53
295,CO,Mineral,2,2
296,CO,Moffat,6,6
297,CO,Montezuma,27,27
298,CO,Montrose,135,135
299,CO,Morgan,557,557
300,CO,Otero,11,11
301,CO,Park,16,16
302,CO,Philips,10,10
303,CO,Pitkin,71,71
304,CO,Pueblo,202,202
305,CO,Rio Grande,8,8
306,CO,Routt,59,59
307,CO,Saguache,16,16
308,CO,San Miguel,22,22
309,CO,Summit,189,189
310,CO,Teller,31,31
311,CO,Unassigned,52,52
312,CO,Washington,10,10
313,CO,Weld,2281,2281
314,CO,Yuma,12,12
315,CT,Fairfield,14140,14140
316,CT,Hartford,8299,8299
317,CT,Litchfield,1234,1234
318,CT,Middlesex,898,898
319,CT,New Haven,10075,10075
320,CT,New London,860,860
321,CT,Tolland,636,636
322,CT,Unassigned,257,257
323,CT,Windham,304,304
324,DC,District of Columbia,7042,7042
325,DE,Kent,1176,1176
326,DE,New Castle,2667,2667
327,DE,Sussex,3658,3658
328,Diamond Princess,Riverside,2,2
329,Diamond Princess,San Diego,1,1
330,Diamond Princess,Sonoma,2,2
331,Diamond Princess,Unassigned,44,44
332,FL,Alachua,329,329
333,FL,Baker,26,26
334,FL,Bay,83,83
335,FL,Bradford,49,49
336,FL,Brevard,359,359
337,FL,Broward,6201,6201
338,FL,Calhoun,38,38
339,FL,Charlotte,370,370
