county_resident,Population,Positive,DEATHS,HOSPITALIZATION,number,,
Appling,18561,72,6,12,18561.00 ,,65
Atkinson,8330,9,1,3,8330.00 ,,109
Bacon,11404,25,1,3,11404.00 ,,
Baker,3116,23,2,8,3116.00 ,,
Baldwin,44428,226,8,43,44428.00 ,,
Banks,19982,25,0,7,19982.00 ,,
Barrow,86383,141,4,42,86383.00 ,,
Bartow,110771,320,31,119,110771.00 ,,
Ben Hill,16645,26,0,2,16645.00 ,,
Berrien,19276,17,0,1,19276.00 ,,
Bibb,152150,312,10,89,152150.00 ,,
Bleckley,12838,19,0,0,12838.00 ,,
Brantley,19202,23,2,1,19202.00 ,,
Brooks,15727,59,6,4,15727.00 ,,
Bryan,39137,54,3,17,39137.00 ,,
Bulloch,79467,40,2,8,79467.00 ,,
Burke,22342,86,3,15,22342.00 ,,
Butts,25174,153,14,16,25174.00 ,,
Calhoun,6317,103,4,7,6317.00 ,,
Camden,53924,33,1,6,53924.00 ,,
Candler,10837,7,0,1,10837.00 ,,
Carroll,120119,375,14,71,120119.00 ,,
Catoosa,68771,47,0,5,68771.00 ,,
Charlton,13251,11,0,3,13251.00 ,,
Chatham,292176,230,9,55,292176.00 ,,
Chattahoochee,10749,12,0,5,10749.00 ,,
Chattooga,24766,16,2,3,24766.00 ,,
Cherokee,266617,476,13,89,266617.00 ,,
Clarke,129779,155,13,30,129779.00 ,,
Clay,2855,23,3,4,2855.00 ,,
Clayton,304838,724,33,138,304838.00 ,,
Clinch,6656,8,0,2,6656.00 ,,
Cobb,790588,1672,94,476,790588.00 ,,
Coffee,43042,141,7,40,43042.00 ,,
Colquitt,45393,187,9,11,45393.00 ,,
Columbia,158631,162,4,25,158631.00 ,,
Cook,17437,25,1,5,17437.00 ,,
Coweta,152001,209,4,37,152001.00 ,,
Crawford,12228,17,0,4,12228.00 ,,
Crisp,22289,167,3,33,22289.00 ,,
Dade,16162,16,1,3,16162.00 ,,
Dawson,27021,61,1,12,27021.00 ,,
DeKalb,793154,2065,47,398,26322.00 ,,
Decatur,26322,86,1,10,793154.00 ,,
Dodge,20385,28,1,6,20385.00 ,,
Dooly,13400,129,9,35,13400.00 ,,
Dougherty,89905,1531,123,310,89905.00 ,,
Douglas,151906,325,11,97,151906.00 ,,
Early,10146,213,20,10,10146.00 ,,
Echols,3969,5,0,0,3969.00 ,,
Effingham,64026,36,1,11,64026.00 ,,
Elbert,18945,23,0,2,18945.00 ,,
Emanuel,22664,21,0,3,22664.00 ,,
Evans,10687,5,0,0,10687.00 ,,
Fannin,26320,30,1,4,26320.00 ,,
Fayette,117544,177,10,34,117544.00 ,,
Floyd,99916,145,11,37,99916.00 ,,
Forsyth,252507,308,10,42,252507.00 ,,
Franklin,23329,19,1,5,23329.00 ,,
Fulton,1099181,2880,121,542,1099181.00 ,,
Gilmer,31417,69,0,13,31417.00 ,,
Glynn,86047,58,1,11,86047.00 ,,
Gordon,58049,112,12,26,58049.00 ,,
Grady,24540,64,4,18,24540.00 ,,
Greene,18717,54,2,17,18717.00 ,,
Gwinnett,971145,1843,58,360,971145.00 ,,
Habersham,45800,325,8,49,45800.00 ,,
Hall,206349,1466,22,198,206349.00 ,,
Hancock,8193,51,2,9,8193.00 ,,
Haralson,30722,29,1,7,30722.00 ,,
Harris,34712,61,2,9,34712.00 ,,
Hart,26107,11,0,0,26107.00 ,,
Heard,12370,11,1,3,12370.00 ,,
Henry,239866,492,13,59,239866.00 ,,
Houston,157039,234,14,74,157039.00 ,,
Irwin,9433,15,1,2,9433.00 ,,
Jackson,74700,97,2,17,74700.00 ,,
Jasper,14199,22,0,3,14199.00 ,,
Jeff Davis,15148,20,1,4,15148.00 ,,
Jefferson,15313,14,1,2,15313.00 ,,
Jenkins,8576,16,1,4,8576.00 ,,
Johnson,9661,51,2,10,9661.00 ,,
Jones,28591,29,0,4,28591.00 ,,
Lamar,19347,38,1,4,19347.00 ,,
Lanier,10351,9,1,4,10351.00 ,,
Laurens,47296,62,1,12,47296.00 ,,
Lee,29971,321,20,46,29971.00 ,,
Liberty,61904,37,0,11,61904.00 ,,
Lincoln,8125,12,0,5,8125.00 ,,
Long,19915,5,0,2,19915.00 ,,
Lowndes,117878,156,4,28,117878.00 ,,
Lumpkin,33802,46,2,10,33802.00 ,,
Macon,12988,81,3,28,12988.00 ,,
Madison,30177,24,1,5,30177.00 ,,
Marion,8293,42,1,8,8293.00 ,,
McDuffie,21597,45,4,13,21597.00 ,,
McIntosh,14567,6,0,2,14567.00 ,,
Meriwether,21020,53,0,9,21020.00 ,,
Miller,5764,33,0,1,5764.00 ,,
Mitchell,22056,318,31,69,22056.00 ,,
Monroe,27727,24,3,7,27727.00 ,,
Montgomery,9224,2,0,1,9224.00 ,,
Morgan,19138,27,0,3,19138.00 ,,
Murray,40261,32,0,5,40261.00 ,,
Muscogee,191626,313,7,55,191626.00 ,,
Newton,112354,200,7,35,112354.00 ,,
Oconee,41737,66,0,9,41737.00 ,,
Oglethorpe,15240,49,3,11,15240.00 ,,
Paulding,172542,190,8,52,172542.00 ,,
Peach,27375,52,2,15,27375.00 ,,
Pickens,33530,25,2,8,33530.00 ,,
Pierce,19545,55,3,15,19545.00 ,,
Pike,18860,40,2,7,18860.00 ,,
Polk,43482,59,0,11,43482.00 ,,
Pulaski,10893,31,1,7,10893.00 ,,
Putnam,21885,42,5,8,21885.00 ,,
Quitman,2294,4,1,3,2294.00 ,,
Rabun,16986,14,0,6,16986.00 ,,
Randolph,6754,161,19,26,6754.00 ,,
Richmond,202240,411,15,116,202240.00 ,,
Rockdale,94960,191,6,44,94960.00 ,,
Schley,5275,16,1,7,5275.00 ,,
Screven,13900,15,1,6,13900.00 ,,
