state_name:,county:,3/29,3/30,3/31,4/1,4/2,4/3,4/4,4/5,4/6,4/7,4/8,4/9,4/10,4/11,4/12,4/13,4/14,4/15,4/16,4/17,4/18,4/19,4/20,4/21,4/22,4/23,4/24,4/25,4/26,4/27,4/28,4/29,4/30,5/1,5/2,5/3,5/4,5/5,5/6,5/7,5/8,5/9,5/10,5/11,5/12,5/13,5/14,5/15,5/16,5/17,5/18,5/19,5/20,5/21,5/22,5/23,5/24,5/25,5/26,5/27
GA,Appling,0,1,1,1,3,5,5,5,6,6,7,7,9,9,10,13,13,14,17,18,20,20,21,21,47,49,53,54,56,60,65,65,70,72,72,72,74,77,78,88,89,92,93,93,96,99,103,108,108,108,111,113,115,118,121,124,132,134,138,143
GA,Bacon,1,1,5,6,6,6,6,7,10,11,13,13,14,14,14,14,14,14,17,17,18,18,19,19,20,20,20,21,21,22,22,22,24,25,27,27,28,29,29,33,35,41,43,43,48,48,51,59,59,59,61,68,68,73,73,75,75,77,80,83
GA,Baker,1,1,4,4,4,4,5,5,5,9,9,11,11,13,14,16,16,17,16,16,16,17,18,18,18,19,19,19,19,21,21,22,23,23,23,23,26,26,28,29,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,34,34
GA,Baldwin,2,3,5,7,7,11,11,15,20,27,30,32,35,47,53,54,69,93,100,108,108,110,130,135,155,161,169,180,181,193,202,210,215,226,230,233,239,260,263,270,270,270,271,275,276,277,280,282,284,287,290,292,296,299,329,329,330,330,335,337
GA,Banks,0,1,2,2,2,2,2,2,2,4,4,5,7,7,7,7,8,9,13,13,13,14,15,16,16,16,17,17,17,17,18,20,24,26,31,29,29,29,32,35,35,36,36,36,38,39,41,43,43,43,43,46,46,68,73,73,73,73,80,88
GA,Barrow,6,9,19,20,20,22,25,25,29,42,46,48,51,51,55,57,65,68,81,85,87,90,93,101,103,106,108,108,108,114,124,131,133,141,159,159,167,178,189,191,192,193,193,195,232,254,255,258,257,257,263,267,272,276,281,283,283,292,307,316
GA,Bartow,119,125,137,147,153,159,160,160,182,191,195,203,208,211,213,223,230,237,240,245,246,248,255,256,259,264,273,283,286,290,298,309,314,324,324,325,341,351,359,359,361,361,363,364,368,377,382,384,384,384,396,410,419,424,427,443,443,443,452,458
GA,Ben Hill,2,3,3,3,3,3,4,4,6,6,6,7,8,8,8,9,10,10,10,13,13,15,15,19,20,21,21,23,23,24,25,25,25,26,28,29,29,29,36,38,39,39,39,40,43,43,44,45,45,45,47,48,48,53,55,56,58,61,65,69
GA,Berrien,0,1,1,2,3,3,3,3,4,4,4,6,6,6,6,6,8,8,10,10,10,10,10,10,10,12,14,15,15,15,18,17,17,17,17,17,17,17,19,19,19,19,19,19,19,19,20,20,20,20,22,23,25,30,34,34,34,37,38,39
GA,Bibb,14,16,20,23,25,34,36,39,42,46,51,56,58,62,70,73,91,108,179,191,193,199,203,207,224,234,244,247,248,256,289,302,306,312,321,324,346,350,367,365,365,365,367,370,376,378,384,391,394,395,397,404,408,416,423,432,433,435,436,441
