state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,checkTimeEt,death,hospitalized,total,totalTestResults,posNeg,fips,dateModified,dateChecked
Alask,412,45951,null,14,null,null,null,null,null,364,"""5/27 00:00""","""5/27 14:50""",10,null,46363,46363,46363,"""02""","""2020-05-27T04:00:00Z""","""2020-05-27T18:50:00Z"""
Alabama,15843,179951,null,null,1719,null,560,null,334,7951,"""5/27 00:00""","""5/27 16:47""",581,1719,195794,195794,195794,"""01""","""2020-05-27T04:00:00Z""","""2020-05-27T20:47:00Z"""
Arkansas,6277,109319,null,108,627,null,null,22,116,4424,"""5/27 00:00""","""5/27 16:45""",120,627,115596,115596,115596,"""05""","""2020-05-27T04:00:00Z""","""2020-05-27T20:45:00Z"""
Arizona,17262,179004,null,911,2031,375,null,237,null,4361,"""5/27 00:00""","""5/27 16:41""",831,2031,196266,196266,196266,"""04""","""2020-05-27T04:00:00Z""","""2020-05-27T20:41:00Z"""
california,98980,1637914,null,4544,null,1407,null,null,null,null,"""5/27 00:00""","""5/27 14:16""",3884,null,1736894,1736894,1736894,"""06""","""2020-05-27T04:00:00Z""","""2020-05-27T18:16:00Z"""
colorado,24565,134855,null,484,4160,null,null,null,null,3741,"""5/26 00:00""","""5/27 16:50""",1352,4160,159420,159420,159420,"""08""","""2020-05-26T04:00:00Z""","""2020-05-27T20:50:00Z"""
Connecticut,41303,184059,null,694,12538,null,null,null,null,7127,"""5/25 20:30""","""5/27 17:02""",3769,12538,225362,225362,225362,"""09""","""2020-05-26T00:30:00Z""","""2020-05-27T21:02:00Z"""
Washington.D.C,8406,34291,null,349,null,113,null,76,null,1082,"""5/26 00:00""","""5/27 14:39""",445,null,42697,42697,42697,"""11""","""2020-05-26T04:00:00Z""","""2020-05-27T18:39:00Z"""
Delaware,9096,46325,null,196,null,null,null,null,null,4909,"""5/26 18:00""","""5/27 14:46""",344,null,55421,55421,55421,"""10""","""2020-05-26T22:00:00Z""","""2020-05-27T18:46:00Z"""
Florida,52634,880937,955,null,9899,null,null,null,null,null,"""5/27 10:13""","""5/27 17:26""",2400,9899,934526,933571,933571,"""12""","""2020-05-27T14:13:00Z""","""2020-05-27T21:26:00Z"""
Georgia,44421,396335,null,907,7666,null,1735,null,null,null,"""5/27 13:24""","""5/27 16:38""",1907,7666,440756,440756,440756,"""13""","""2020-05-27T17:24:00Z""","""2020-05-27T20:38:00Z"""
Hawaii,643,50559,null,null,83,null,null,null,null,593,"""5/26 00:00""","""5/27 16:00""",17,83,51202,51202,51202,"""15""","""2020-05-26T04:00:00Z""","""2020-05-27T20:00:00Z"""
Iowa,18360,121166,null,393,null,109,null,66,null,10016,"""5/27 00:00""","""5/27 16:11""",491,null,139526,139526,139526,"""19""","""2020-05-27T04:00:00Z""","""2020-05-27T20:11:00Z"""
Idaho,2699,40318,null,null,231,null,95,null,null,2100,"""5/26 19:00""","""5/27 16:41""",81,231,43017,43017,43017,"""16""","""2020-05-26T23:00:00Z""","""2020-05-27T20:41:00Z"""
Illinois,114306,689667,null,3826,null,1031,null,592,null,null,"""5/27 00:00""","""5/27 16:27""",5083,null,803973,803973,803973,"""17""","""2020-05-27T04:00:00Z""","""2020-05-27T20:27:00Z"""
Indiana,32437,202896,null,1122,5285,400,1166,182,null,null,"""5/26 23:59""","""5/27 16:21""",2030,5285,235333,235333,235333,"""18""","""2020-05-27T03:59:00Z""","""2020-05-27T20:21:00Z"""
Kansas,9337,75151,null,null,822,null,275,null,122,534,"""5/27 10:00""","""5/27 16:43""",205,822,84488,84488,84488,"""20""","""2020-05-27T14:00:00Z""","""2020-05-27T20:43:00Z"""
Kentucky,9077,173024,null,489,2136,78,897,null,null,3124,"""5/27 17:00""","""5/27 17:28""",400,2136,182101,182101,182101,"""21""","""2020-05-27T21:00:00Z""","""2020-05-27T21:28:00Z"""
Louisiana,38497,309150,null,798,null,null,null,100,null,28700,"""5/27 13:00""","""5/27 17:05""",2722,null,347647,347647,347647,"""22""","""2020-05-27T17:00:00Z""","""2020-05-27T21:05:00Z"""
Massachusetts,93693,451788,null,2108,9388,560,null,null,null,null,"""5/26 10:00""","""5/27 17:12""",6473,9388,545481,545481,545481,"""25""","""2020-05-26T14:00:00Z""","""2020-05-27T21:12:00Z"""
Maryland,48423,213632,null,1338,8281,520,null,null,null,3401,"""5/27 10:00""","""5/27 14:14""",2392,8281,262055,262055,262055,"""24""","""2020-05-27T14:00:00Z""","""2020-05-27T18:14:00Z"""
Maine,2137,43480,null,59,260,25,null,14,null,1357,"""5/26 23:59""","""5/27 14:39""",81,260,45617,45617,45617,"""23""","""2020-05-27T03:59:00Z""","""2020-05-27T18:39:00Z"""
Michigan,55608,438644,null,882,null,388,null,272,null,33168,"""5/27 11:00""","""5/27 15:39""",5334,null,494252,494252,494252,"""26""","""2020-05-27T15:00:00Z""","""2020-05-27T19:39:00Z"""
Minnesota,22464,194068,null,598,2796,260,902,null,null,16314,"""5/26 17:00""","""5/27 14:43""",942,2796,216532,216532,216532,"""27""","""2020-05-26T21:00:00Z""","""2020-05-27T18:43:00Z"""
Missouri,12492,153029,null,644,null,null,null,84,null,null,"""5/27 15:00""","""5/27 16:48""",696,null,165521,165521,165521,"""29""","""2020-05-27T19:00:00Z""","""2020-05-27T20:48:00Z"""
Mississippi,14044,134088,null,547,2106,127,null,73,null,9401,"""5/26 19:00""","""5/27 16:58""",670,2106,148132,148132,148132,"""28""","""2020-05-26T23:00:00Z""","""2020-05-27T20:58:00Z"""
Montana,481,35162,null,2,66,null,null,null,null,444,"""5/27 00:00""","""5/27 15:41""",17,66,35643,35643,35643,"""30""","""2020-05-27T04:00:00Z""","""2020-05-27T19:41:00Z"""
North Carolina,24628,339528,null,702,null,null,null,null,null,14954,"""5/27 11:00""","""5/27 16:03""",794,null,364156,364156,364156,"""37""","""2020-05-27T15:00:00Z""","""2020-05-27T20:03:00Z"""
North Dakota,2439,64901,null,40,161,null,null,null,null,1762,"""5/27 00:00""","""5/27 15:58""",56,161,67340,67340,67340,"""38""","""2020-05-27T04:00:00Z""","""2020-05-27T19:58:00Z"""
Nebraska,12619,77802,null,null,null,null,null,null,null,null,"""5/26 19:00""","""5/27 15:42""",153,null,90421,90421,90421,"""31""","""2020-05-26T23:00:00Z""","""2020-05-27T19:42:00Z"""
New Hampshire,4231,60001,1370,91,421,null,120,null,null,2550,"""5/26 09:00""","""5/27 15:30""",214,421,65602,64232,64232,"""33""","""2020-05-26T13:00:00Z""","""2020-05-27T19:30:00Z"""
New Jersey,156628,503697,null,2761,16597,768,null,583,null,25552,"""5/27 13:00""","""5/27 15:35""",11339,16597,660325,660325,660325,"""34""","""2020-05-27T17:00:00Z""","""2020-05-27T19:35:00Z"""
New Mexico,7130,173516,null,211,1282,null,null,null,null,2564,"""5/27 00:32""","""5/27 14:19""",325,1282,180646,180646,180646,"""35""","""2020-05-27T04:32:00Z""","""2020-05-27T18:19:00Z"""
Nevada,8113,120446,null,435,null,108,null,48,null,401,"""5/27 11:00""","""5/27 14:26""",396,null,128559,128559,128559,"""32""","""2020-05-27T15:00:00Z""","""2020-05-27T18:26:00Z"""
New York,364965,1446579,null,4208,77838,1261,null,988,null,64632,"""5/27 00:00""","""5/27 16:12""",23643,77838,1811544,1811544,1811544,"""36""","""2020-05-27T04:00:00Z""","""2020-05-27T20:12:00Z"""
Ohio,33439,316286,null,885,5700,313,1492,217,null,null,"""5/27 14:00""","""5/27 14:33""",2044,5700,349725,349725,349725,"""39""","""2020-05-27T18:00:00Z""","""2020-05-27T18:33:00Z"""
Oklahoma,6229,172409,null,156,941,74,null,null,null,5135,"""5/27 00:00""","""5/27 16:35""",322,941,178638,178638,178638,"""40""","""2020-05-27T04:00:00Z""","""2020-05-27T20:35:00Z"""
Oregon,4038,112954,null,146,759,35,null,16,null,1795,"""5/27 03:01""","""5/27 17:05""",148,759,116992,116992,116992,"""41""","""2020-05-27T07:01:00Z""","""2020-05-27T21:05:00Z"""
Pennsylvania,69417,349990,null,1493,null,null,null,351,null,43038,"""5/27 00:00""","""5/27 15:24""",5265,null,419407,419407,419407,"""42""","""2020-05-27T04:00:00Z""","""2020-05-27T19:24:00Z"""
Rhode Island,14353,124030,null,218,1624,49,null,35,null,1175,"""5/27 00:00""","""5/27 15:35""",655,1624,138383,138383,138383,"""44""","""2020-05-27T04:00:00Z""","""2020-05-27T19:35:00Z"""
South Carolina,10623,165060,null,398,1618,null,null,null,null,6102,"""5/26 16:02""","""5/27 16:12""",466,1618,175683,175683,175683,"""45""","""2020-05-26T20:02:00Z""","""2020-05-27T20:12:00Z"""
South Dakota,4710,33296,null,101,391,null,null,null,null,3619,"""5/26 18:00""","""5/27 16:54""",54,391,38006,38006,38006,"""46""","""2020-05-26T22:00:00Z""","""2020-05-27T20:54:00Z"""
Tennessee,21306,388324,null,null,1647,null,null,null,null,13916,"""5/27 15:00""","""5/27 16:56""",353,1647,409630,409630,409630,"""47""","""2020-05-27T19:00:00Z""","""2020-05-27T20:56:00Z"""
Texas,57921,797753,null,1645,null,null,null,null,null,37626,"""5/27 16:40""","""5/27 17:05""",1562,null,855674,855674,855674,"""48""","""2020-05-27T20:40:00Z""","""2020-05-27T21:05:00Z"""
Utah,8706,191920,null,127,716,null,223,null,94,5499,"""5/27 11:04""","""5/27 16:28""",105,716,200626,200626,200626,"""49""","""2020-05-27T15:04:00Z""","""2020-05-27T20:28:00Z"""
Virginia,40249,236798,444,1459,6826,390,null,203,null,5367,"""5/26 17:00""","""5/27 16:34""",1281,6826,277491,277047,277047,"""51""","""2020-05-26T21:00:00Z""","""2020-05-27T20:34:00Z"""
Vermont,971,30028,null,21,null,null,null,null,null,849,"""5/27 00:00""","""5/27 17:03""",54,null,30999,30999,30999,"""50""","""2020-05-27T04:00:00Z""","""2020-05-27T21:03:00Z"""
Washington,20181,312610,null,241,3338,null,null,53,null,null,"""5/26 02:59""","""5/27 16:52""",1078,3338,332791,332791,332791,"""53""","""2020-05-26T06:59:00Z""","""2020-05-27T20:52:00Z"""
Wisconsin,16462,210605,335,748,2411,139,550,null,null,9846,"""5/27 16:00""","""5/27 15:40""",539,2411,227402,227067,227067,"""55""","""2020-05-27T20:00:00Z""","""2020-05-27T19:40:00Z"""
West Virginia,1867,86594,null,36,null,13,null,6,null,1191,"""5/27 10:00""","""5/27 15:25""",74,null,88461,88461,88461,"""54""","""2020-05-27T14:00:00Z""","""2020-05-27T19:25:00Z"""
Wyoming,850,20652,null,12,82,null,null,null,null,607,"""5/27 00:00""","""5/27 15:45""",13,82,21502,21502,21502,"""56""","""2020-05-27T04:00:00Z""","""2020-05-27T19:45:00Z"""
Puerto Rico,3397,null,null,105,null,8,null,4,null,null,"""5/27 06:30""","""5/27 14:50""",129,null,3397,3397,3397,"""72""","""2020-05-27T10:30:00Z""","""2020-05-27T18:50:00Z"""
AS,0,174,null,null,null,null,null,null,null,null,"""5/27 00:00""","""5/27 16:46""",0,null,174,174,174,"""60""","""2020-05-27T04:00:00Z""","""2020-05-27T20:46:00Z"""
Guam,170,5515,null,1,null,null,null,null,null,143,"""5/27 08:15""","""5/27 15:49""",5,null,5685,5685,5685,"""66""","""2020-05-27T12:15:00Z""","""2020-05-27T19:49:00Z"""
Northern Mariana Islands,22,5178,null,null,null,null,null,null,null,13,"""5/27 00:00""","""5/27 14:54""",2,null,5200,5200,5200,"""69""","""2020-05-27T04:00:00Z""","""2020-05-27T18:54:00Z"""
US Virgin Islands,69,1442,28,null,null,null,null,null,null,61,"""5/26 11:12""","""5/27 17:00""",6,null,1539,1511,1511,"""78""","""2020-05-26T15:12:00Z""","""2020-05-27T21:00:00Z"""
