state,population
AK,731500
AL,4903000
AR,3018000
AS,55500
AZ,7278717
CA,39510000
CO,5750000
CT,2560000
DC,700000
DE,973000
FL,21470000
GA,10617000
GU,160000
HI,1415000
IA,3155000
ID,1787000
IL,12671821
IN,6732219
KS,2913000
KY,4467673
LA,4648900
MA,6646144
MD,6045680
ME,1344222
MI,9883360
MN,5379139
MO,6021988
MP,53883
MS,2984926
MT,1005000
NC,9652000
ND,700000
NE,1855525
NH,1320718
NJ,8865590
NM,2085538
NV,2758931
NY,19570000
OH,11544225
OK,3814820
OR,3899353
PA,12763536
PR,3725000
RI,1050292
SC,4723723
SD,833354
TN,6456243
TX,26059203
UT,2855287
VA,8185867
VI,106400
VT,626011
WA,6897012
WI,5726398
WV,1855413
WY,576412
