Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
Country,AK,AL,AR,AZ,BOP,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,Military,NC,ND,NE,NH,NJ,NM,NN,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,US,UT,VA,VI,VT,WA,WI,WV,WY
2020-03-09,,,,,,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,,,,,,,,,,,581.0,,,,,123.0,,,
2020-03-10,,,,,,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,,,,,,,,,,757.0,,,,,169.0,,,
2020-03-11,,,,,,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.0,,,,,,,,,,,1047.0,,,,,273.0,,,
2020-03-12,,,,,,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.0,,,,,,,,,,,1292.0,,,,,334.0,,,
2020-03-13,,,,,,240.0,,,,,,,,,,,,,,,,108.0,,,,,,,,,,,,,,,,,,327.0,,,,,,,,,,,1717.0,,,,,411.0,,,
2020-03-14,,,,,,301.0,,,,,,,,,,,,,,,,123.0,,,,,,,,,,,,,,,,,,423.0,,,,,,,,,,,2249.0,,,,,509.0,,,
2020-03-15,,,,,,379.0,102.0,,,,,,,,,,,,,,,138.0,,,,,,,,,,,,,,,,,,617.0,,,,,,,,,,,2973.0,,,,,604.0,,,
2020-03-16,,,,,,466.0,133.0,,,,131.0,110.0,,,,,,,,,103.0,162.0,,,,,,,,,,,,,,109.0,,,,746.0,,,,,,,,,,,3675.0,,,,,667.0,,,
2020-03-17,,,,,,568.0,144.0,,,,167.0,122.0,,,,,105.0,,,,136.0,191.0,,,,,,,,,,,,,,174.0,,,,969.0,,,,,,,,,,,4637.0,,,,,840.0,,,
2020-03-18,,,,,,716.0,169.0,,,,236.0,145.0,,,,,160.0,,,,196.0,218.0,,,,,,,,,,,,,,244.0,,,,1407.0,,,,112.0,,,,,,134.0,6090.0,,,,,950.0,,,
2020-03-19,,,,,,867.0,218.0,,,,328.0,202.0,,,,,272.0,,,,277.0,256.0,,,119.0,,,,,,,,,,,425.0,,,,2554.0,,,,155.0,,,,,,228.0,8772.0,,,,,1036.0,114.0,,
2020-03-20,,,,,,1048.0,220.0,158.0,,,434.0,288.0,,,,,418.0,,,,392.0,328.0,107.0,,324.0,,,,,,,140.0,,,,758.0,,,,5697.0,120.0,,,206.0,,,,,154.0,321.0,14201.0,,103.0,,,1246.0,161.0,,
2020-03-21,,106.0,,,,1263.0,341.0,193.0,,,565.0,482.0,,,,,583.0,,,,537.0,407.0,148.0,,553.0,115.0,,,,,128.0,192.0,,,,916.0,,,156.0,8528.0,172.0,,113.0,307.0,,,126.0,,257.0,438.0,19738.0,102.0,126.0,,,1397.0,220.0,,
2020-03-22,,131.0,115.0,104.0,,1523.0,477.0,223.0,,,762.0,546.0,,,,,752.0,125.0,,,766.0,523.0,194.0,,809.0,137.0,,,140.0,,128.0,281.0,,,,1345.0,,,159.0,12321.0,250.0,,137.0,402.0,,,172.0,,369.0,564.0,26895.0,126.0,161.0,,,1647.0,282.0,,
