Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
Country,AK,AL,AR,AZ,BOP,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,Military,NC,ND,NE,NH,NJ,NM,NN,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,US,UT,VA,VI,VT,WA,WI,WV,WY
2020-03-17,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,50.0,,,
2020-03-18,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,55.0,,,
2020-03-19,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,68.0,,,
2020-03-20,,,,,,19.0,,,,,10.0,10.0,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,74.0,,,
2020-03-21,,,,,,24.0,,,,,12.0,14.0,,,,,,,,,13.0,,,,,,,,,,,,,,,11.0,,,,56.0,,,,,,,,,,,,,,,,83.0,,,
2020-03-22,,,,,,28.0,,,,,14.0,20.0,,,,,,,,,19.0,,,,,,,,,,,,,,,16.0,,,,75.0,,,,,,,,,,,,,,,,95.0,,,
2020-03-23,,,,,,35.0,,,,,16.0,26.0,,,,,,,,,19.0,,,,,,,,,,,,,,,20.0,,,,148.0,,,,,,,,,,,,,,,,95.0,,,
2020-03-24,,,,,,43.0,,10.0,,,20.0,27.0,,,,,12.0,,,,35.0,,,,18.0,,,,,,,,,,,27.0,,,,184.0,,,,,,,,,,,,,,,,111.0,,,
2020-03-25,,,,,,53.0,,12.0,,,23.0,41.0,,,,,16.0,13.0,,,45.0,11.0,,,24.0,,,,,,,,,,,45.0,,,,269.0,10.0,,,,,,,,,13.0,,,,,,125.0,,,
2020-03-26,,,,,,67.0,19.0,19.0,,,23.0,49.0,,,,,19.0,17.0,,,64.0,15.0,,,43.0,,,,,,,,,,,63.0,,,10.0,366.0,14.0,,10.0,17.0,,,,,,18.0,,,12.0,,10.0,133.0,,,
2020-03-27,,,,,,82.0,26.0,21.0,,,29.0,49.0,,,,,26.0,20.0,,,82.0,25.0,,,61.0,,,,,,,,,,,82.0,,,10.0,461.0,19.0,,11.0,20.0,,,,,,24.0,,,15.0,,10.0,150.0,12.0,,
2020-03-28,,,,13.0,,102.0,30.0,27.0,,,48.0,64.0,,,,,36.0,25.0,,,118.0,35.0,,,91.0,,11.0,,13.0,,,,,,,109.0,,,10.0,596.0,23.0,,12.0,28.0,,,13.0,,,27.0,,,17.0,,10.0,175.0,14.0,,
2020-03-29,,10.0,,15.0,,121.0,42.0,33.0,,,56.0,76.0,,,,,48.0,31.0,,,136.0,44.0,10.0,,112.0,,12.0,,14.0,,,,,,,140.0,,,14.0,834.0,27.0,15.0,13.0,37.0,,,15.0,,,35.0,,,18.0,,12.0,189.0,17.0,,
2020-03-30,,11.0,,15.0,,132.0,45.0,34.0,,,60.0,80.0,,,,,68.0,31.0,,,151.0,48.0,15.0,,132.0,,13.0,,14.0,,,,,,,161.0,,,15.0,966.0,28.0,16.0,13.0,45.0,,,16.0,,,39.0,,,24.0,,12.0,204.0,19.0,,
