Country,AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
20200429,9,242,52,0,293,1809,706,2089,190,137,1154,1026,5,16,136,58,2125,901,124,213,1758,3153,1099,51,3567,301,314,2,239,15,342,19,55,60,6442,104,219,17638,799,207,92,1716,86,239,177,11,188,690,45,492,4,47,765,300,37,7
20200430,9,245,59,0,304,1887,760,2168,205,144,1240,1093,5,16,148,60,2215,1065,125,225,1802,3405,1168,52,3670,319,318,2,250,16,354,19,55,60,6770,110,230,18015,937,214,101,2195,86,251,203,13,195,732,45,522,4,47,786,308,38,7
20200501,9,269,61,0,320,1982,766,2257,224,152,1290,1120,5,16,162,60,2355,1114,129,235,1862,3562,1226,53,3789,343,329,2,261,16,378,19,68,66,7228,112,237,18321,975,222,103,2292,92,266,244,17,199,782,46,552,4,49,801,316,41,7
20200502,9,279,64,0,330,2073,777,2339,231,159,1314,1154,5,16,170,63,2457,1175,130,240,1927,3716,1276,55,3866,371,337,2,281,16,399,23,70,72,7538,123,243,18610,1002,230,104,2354,92,279,256,21,204,816,46,581,4,50,814,327,46,7
20200503,9,288,73,0,348,2171,820,2339,240,168,1388,1174,5,16,175,63,2559,1229,131,248,1950,3846,1323,56,4020,395,351,2,291,16,420,24,73,81,7742,131,254,18909,1021,238,109,2418,95,296,267,21,209,847,49,616,4,51,824,334,48,7
20200504,9,290,76,0,362,2215,832,2436,251,177,1403,1177,5,16,184,63,2618,1246,134,248,1969,4004,1372,57,4049,419,352,2,303,16,422,25,76,84,7871,139,257,19189,1038,238,109,2444,97,320,275,21,210,867,50,660,4,52,830,339,50,7
20200505,9,296,81,0,362,2254,842,2495,258,182,1423,1222,5,17,188,64,2662,1264,136,253,2064,4090,1424,57,4049,428,358,2,310,16,430,25,78,86,7910,151,262,19415,1056,238,109,2458,97,341,275,21,219,884,50,684,4,52,834,340,50,7
20200506,9,313,83,0,395,2317,851,2633,264,187,1536,1288,5,17,207,64,2838,1326,137,261,2115,4212,1476,61,4179,455,377,2,342,16,452,25,78,86,8244,156,268,19645,1135,247,113,3012,99,355,283,24,226,906,56,713,4,52,841,353,50,7
20200507,10,340,85,0,426,2412,903,2718,277,193,1605,1311,5,17,219,65,2974,1377,144,275,2115,4420,1520,62,4250,485,396,2,374,16,477,31,82,92,8549,162,276,19877,1225,253,115,3106,99,370,305,29,239,948,58,713,4,52,862,362,50,7
20200508,10,349,87,0,450,2504,921,2797,285,202,1667,1336,5,17,231,66,3111,1414,147,283,2208,4552,1580,62,4343,508,418,2,396,16,507,31,86,111,8801,169,286,20828,1271,260,121,3416,102,388,305,31,237,973,61,769,4,53,870,374,51,7
