Country,AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
20200415,235,2769,1119,0,3018,18309,5655,9784,1523,1207,16364,10566,128,435,1270,1232,16422,6351,1106,1346,18283,18843,6185,560,29096,1637,3539,11,2260,354,3651,269,567,788,51027,865,2456,159937,5512,1684,1321,18228,683,1727,2792,447,4634,10230,1976,4042,46,680,10805,2885,523,230
20200416,246,2968,1171,0,3112,19472,6510,10538,1660,1326,17531,11483,130,442,1388,1353,17887,6907,1166,1693,19253,20878,6968,586,30172,1732,3799,11,2469,365,3908,278,635,819,54588,1091,2584,170512,5878,1794,1321,19979,725,2015,3065,536,4862,11671,2102,4509,50,713,11080,3068,554,253
20200417,257,3191,1226,0,3393,20615,6510,11510,1778,1479,18494,12159,133,465,1510,1396,19180,7435,1268,1693,20014,22766,7694,616,30980,1806,4024,11,2642,377,4312,293,700,885,58151,1091,2700,180458,6250,1868,1371,21655,788,2349,3207,626,5114,12561,2206,5077,51,733,11290,3213,577,261
20200418,272,3525,1280,0,3539,21794,6893,12035,1875,1479,19355,12452,133,486,1587,1407,20852,7928,1337,1840,20595,25381,8225,633,31666,1864,4160,11,2781,387,4520,308,791,929,61850,1174,2836,188694,6604,1970,1527,22833,897,2665,3319,730,5308,13484,2303,5274,51,754,11457,3341,611,261
20200419,277,3734,1410,0,3702,22348,7684,13381,1955,1625,20601,13315,133,499,1710,1426,22025,8236,1376,1963,21016,26794,8936,698,32702,2012,4388,11,2942,394,4816,331,814,985,64584,1245,2971,195031,6975,2069,1584,24199,903,2976,3319,868,5610,13906,2363,5747,51,761,11757,3428,626,275
20200420,285,3876,1480,0,3806,23338,7691,13989,2058,1761,21367,14223,133,504,1899,1453,23247,8527,1426,2048,21518,28109,9472,734,33613,2165,4686,13,3087,399,5024,341,871,1020,68824,1345,3088,202208,7280,2184,1633,25345,923,3251,3553,988,5823,14624,2412,6171,51,770,11981,3555,640,275
20200421,293,4113,1569,0,3962,24424,7941,14755,2197,2014,22511,14987,133,517,1995,1464,24593,8955,1494,2210,21951,29970,10032,770,34533,2321,4895,13,3360,404,5123,365,901,1139,71030,1407,3211,213779,7791,2263,1663,26490,974,3529,3656,1168,6079,15492,2542,6500,51,779,12293,3721,702,287
20200422,300,4345,1620,0,4234,26182,8280,15884,2350,2075,22897,15669,133,530,2141,1587,25733,9542,1588,2291,22532,32492,10784,796,35455,2486,5111,13,3624,415,5465,393,952,1139,75317,1484,3321,222284,8414,2357,1736,27735,1043,3838,3656,1311,6262,16455,2683,6889,51,792,12548,3875,739,296
20200423,309,4530,1695,0,4507,27528,8675,16809,2476,2323,24119,17194,133,541,2332,1609,27575,10154,1705,2429,23118,35125,11572,827,36320,2668,5283,13,3793,422,5859,439,1066,1287,78467,1597,3524,229642,9107,2465,1785,29441,1068,4177,3931,1411,6589,17371,2805,7491,51,802,12849,4045,754,296
20200424,314,4655,1739,0,4719,28963,9047,16809,2666,2323,25269,17669,133,553,2513,1655,29160,10641,1790,2522,23580,37527,12308,847,37029,2788,5517,14,3974,426,6140,528,1138,1287,81420,1711,3626,236732,10222,2570,1844,31069,1118,4479,4246,1542,6762,18260,2931,8053,53,813,13082,4199,785,305
20200425,319,4837,1781,0,4929,30333,9433,17550,2793,2538,25996,18301,133,574,2902,1668,30357,11210,1849,2707,23928,39820,12830,867,37557,2914,5667,14,4274,433,6493,585,1287,1342,85301,1798,3728,242786,11602,2599,1910,32284,1213,4755,4377,1635,7070,18923,3069,8537,53,817,13256,4346,863,309
20200426,321,5025,1923,0,5064,30978,9730,19815,2927,2745,26660,18947,133,580,3159,1672,31508,11686,1986,2960,24523,41416,13684,875,38494,3190,5807,14,4512,433,6764,627,1474,1392,88806,1845,3830,247512,12919,2680,1956,33232,1252,5098,4377,1685,7238,19458,3213,8990,53,820,13561,4499,902,313
20200427,329,5231,2227,0,5251,33261,10106,20360,3098,2931,27495,19881,133,584,3641,1736,33059,12097,2025,3050,24854,43168,14193,888,39589,3452,5941,14,4716,437,6951,644,1648,1491,92387,1971,3937,251690,13725,2807,2002,34528,1298,5467,4439,1755,7394,20196,3296,9630,54,828,13802,4620,914,320
20200428,335,5465,2276,0,5459,35396,10447,22469,3206,3200,28309,20740,134,582,3748,1766,35108,12438,2211,3192,25258,44913,14775,907,40705,3758,6137,14,4894,439,7220,679,1722,1491,95865,2072,4081,257216,14117,2894,2059,35684,915,5845,4761,1858,7842,21069,3445,10266,54,831,14040,4845,939,322
20200429,337,5778,2465,0,5769,37369,10878,23100,3361,3308,28832,21512,135,592,3924,1802,36934,13039,2482,3373,25739,47992,15737,937,41694,4270,6321,14,5153,442,7608,709,1813,1588,99989,2210,4208,263460,14694,3017,2127,37053,915,6262,4917,1956,8266,21944,3612,10998,54,834,14294,5052,967,326
20200430,339,5832,2741,0,6045,39254,11262,23921,3528,3442,30174,22147,141,596,4445,1836,39658,13680,2777,3481,26140,50969,16616,965,42730,4788,6625,14,5434,444,8052,748,2124,1670,102196,2379,4398,271590,15169,3121,2177,38652,1276,6699,4917,2040,8726,22806,3782,11594,54,843,14581,5356,988,349
