Country,AK,AL,AR,AZ,BOP,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,Military,NC,ND,NE,NH,NJ,NM,NN,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,US,UT,VA,VI,VT,WA,WI,WV,WY
2020/3/17,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,50,,,
2020/3/18,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,55,,,
2020/3/19,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,68,,,
2020/3/20,,,,,,19,,,,,10,10,,,,,,,,,10,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,74,,,
2020/3/21,,,,,,24,,,,,12,14,,,,,,,,,13,,,,,,,,,,,,,,,11,,,,56,,,,,,,,,,,,,,,,83,,,
2020/3/22,,,,,,28,,,,,14,20,,,,,,,,,19,,,,,,,,,,,,,,,16,,,,75,,,,,,,,,,,,,,,,95,,,
2020/3/23,,,,,,35,,,,,16,26,,,,,,,,,19,,,,,,,,,,,,,,,20,,,,148,,,,,,,,,,,,,,,,95,,,
2020/3/24,,,,,,43,,10,,,20,27,,,,,12,,,,35,,,,18,,,,,,,,,,,27,,,,184,,,,,,,,,,,,,,,,111,,,
2020/3/25,,,,,,53,,12,,,23,41,,,,,16,13,,,45,11,,,24,,,,,,,,,,,45,,,,269,10,,,,,,,,,13,,,,,,125,,,
2020/3/26,,,,,,67,19,19,,,23,49,,,,,19,17,,,64,15,,,43,,,,,,,,,,,63,,,10,366,14,,10,17,,,,,,18,,,12,,10,133,,,
2020/3/27,,,,,,82,26,21,,,29,49,,,,,26,20,,,82,25,,,61,,,,,,,,,,,82,,,10,461,19,,11,20,,,,,,24,,,15,,10,150,12,,
2020/3/28,,,,13,,102,30,27,,,48,64,,,,,36,25,,,118,35,,,91,,11,,13,,,,,,,109,,,10,596,23,,12,28,,,13,,,27,,,17,,10,175,14,,
2020/3/29,,10,,15,,121,42,33,,,56,76,,,,,48,31,,,136,44,10,,112,,12,,14,,,,,,,140,,,14,834,27,15,13,37,,,15,,,35,,,18,,12,189,17,,
2020/3/30,,11,,15,,132,45,34,,,60,80,,,,,68,31,,,151,48,15,,132,,13,,14,,,,,,,161,,,15,966,28,16,13,45,,,16,,,39,,,24,,12,204,19,,
2020/3/31,,11,,18,,153,51,36,,,68,99,,,,,76,35,,11,185,56,15,,185,10,14,,16,,,,,,,198,,,18,1161,40,17,16,52,,,18,,12,47,,,26,,12,221,23,,
2020/4/1,,15,,20,,182,69,67,,,85,122,,,,,104,49,10,18,234,89,19,,259,12,18,,21,,,11,,,,267,,,26,1397,55,23,18,69,,,22,,20,59,,,28,,13,225,26,,
2020/4/2,,26,10,29,,228,80,82,11,10,99,151,,,,,147,65,13,20,269,122,32,,335,17,22,,21,,,16,,,,355,,,32,1780,65,29,20,81,11,10,26,,23,70,,,36,,13,254,29,,
2020/4/3,,26,12,34,,245,97,110,15,12,144,172,,,10,,168,78,14,31,309,154,37,,417,18,23,,29,,,21,,,,535,,,38,2325,81,34,24,97,12,12,31,,34,86,,,42,,13,273,38,,
2020/4/4,,37,12,41,,280,111,130,21,14,170,196,,,10,10,211,102,18,34,366,192,43,,479,22,28,,29,,,30,,,,644,10,,43,2954,90,38,26,119,15,14,34,,42,105,,,47,,13,295,51,,
2020/4/5,,43,14,53,,323,126,164,22,14,195,206,,,15,10,246,117,21,40,408,216,54,10,540,24,37,,43,,,36,,,,843,11,12,46,3548,102,42,26,154,18,17,40,,48,123,,,51,,13,318,60,,
2020/4/6,,44,16,65,,350,139,188,22,14,221,217,,,21,10,276,129,22,44,478,231,67,10,616,28,42,,51,,,41,,,,915,12,14,46,4150,119,46,27,173,20,25,43,,49,142,,,54,,13,343,75,,
2020/4/7,,52,16,65,,396,150,206,24,15,253,285,,,25,12,307,132,25,58,518,260,91,10,727,30,66,,51,,,51,,,,999,12,15,46,4757,142,51,29,187,21,27,48,,62,153,,13,67,,14,383,86,,
2020/4/8,,63,18,78,,453,179,276,27,16,296,334,,,26,14,379,187,29,63,580,356,103,12,844,34,85,,58,,,57,,10,13,1229,13,17,60,5488,167,67,33,255,23,30,51,,69,176,,13,71,,17,408,93,,
2020/4/9,,66,18,81,,506,192,335,27,19,322,360,,,27,17,461,203,34,71,652,433,124,14,958,39,90,,67,,,67,,14,18,1502,16,19,74,6267,191,79,37,318,24,35,63,,79,193,,13,75,,23,431,103,,
2020/4/10,,76,21,89,,545,227,380,32,23,369,406,,,29,24,527,244,40,77,702,503,138,16,1076,51,94,,76,,,80,,15,21,1707,17,22,82,7066,210,80,43,367,33,43,67,,94,223,10,13,111,,23,456,111,,
2020/4/11,,78,24,92,,598,250,448,38,32,419,420,,,34,25,595,299,50,88,755,599,171,17,1280,58,106,,82,,13,85,,17,22,1932,19,22,86,7844,230,88,48,449,39,49,72,,98,250,13,17,121,,23,483,128,,
