county_resident,Positive,DEATHS,HOSPITALIZATION,case_rate
Appling,102,10,16,549.54
Atkinson,20,2,5,240.1
Bacon,51,2,5,447.21
Baker,33,2,11,1059.05
Baldwin,280,12,57,630.23
Banks,41,0,9,205.18
Barrow,256,7,62,296.35
Bartow,382,35,128,344.86
Ben Hill,44,1,5,264.34
Berrien,20,0,1,103.76
Bibb,384,16,109,252.38
Bleckley,32,0,1,249.26
Brantley,29,2,4,151.03
Brooks,64,8,6,406.94
Bryan,61,4,18,155.86
Bulloch,45,2,9,56.63
Burke,112,3,23,501.3
Butts,196,17,21,778.58
Calhoun,118,6,11,1867.98
Camden,44,1,6,81.6
Candler,10,0,2,92.28
Carroll,400,20,85,333
Catoosa,69,0,7,100.33
Charlton,21,1,6,158.48
Chatham,344,14,88,117.74
Chattahoochee,17,0,5,158.15
Chattooga,16,2,3,64.6
Cherokee,684,22,113,256.55
Clarke,193,13,32,148.71
Clay,28,3,5,980.74
Clayton,992,36,153,325.42
Clinch,36,0,4,540.87
Cobb,2367,129,552,299.4
Coffee,192,11,53,446.08
Colquitt,241,11,17,530.92
Columbia,197,6,29,124.19
Cook,32,2,7,183.52
Coweta,281,4,47,184.87
Crawford,19,0,4,155.38
Crisp,193,7,36,865.9
Dade,18,1,3,111.37
Dawson,84,1,13,310.87
DeKalb,2672,75,479,336.88
Decatur,115,3,12,436.9
Dodge,38,2,7,186.41
Dooly,152,12,34,1134.33
Dougherty,1643,132,337,1827.48
Douglas,429,14,109,282.41
Early,238,28,16,2345.75
Echols,12,0,0,302.34
Effingham,38,1,11,59.35
Elbert,47,0,5,248.09
Emanuel,25,1,6,110.31
Evans,4,0,0,37.43
Fannin,36,1,5,136.78
Fayette,205,11,35,174.4
Floyd,169,12,41,169.14
Forsyth,395,11,49,156.43
Franklin,30,1,6,128.6
Fulton,3632,159,684,330.43
Gilmer,106,0,14,337.4
Glascock,1,0,0,33.06
Glynn,75,1,10,87.16
Gordon,124,15,30,213.61
Grady,88,4,24,358.6
Greene,57,5,18,304.54
Gwinnett,2553,101,457,262.89
Habersham,402,15,62,877.73
Hall,2122,40,267,1028.35
Hancock,145,4,21,1769.8
Haralson,34,2,8,110.67
Harris,74,2,12,213.18
Hart,19,0,0,72.78
Heard,17,1,5,137.43
Henry,621,18,81,258.89
Houston,308,16,85,196.13
Irwin,22,1,3,233.22
Jackson,126,3,23,168.67
Jasper,26,0,4,183.11
Jeff Davis,24,1,4,158.44
Jefferson,22,1,4,143.67
Jenkins,16,1,4,186.57
Johnson,70,2,11,724.56
Jones,30,0,4,104.93
Lamar,41,1,6,211.92
Lanier,11,2,5,106.27
Laurens,86,1,16,181.83
Lee,344,23,53,1147.78
Liberty,45,0,11,72.69
Lincoln,12,0,5,147.69
Long,5,0,2,25.11
Lowndes,200,4,33,169.67
Lumpkin,82,1,16,242.59
Macon,89,5,32,685.25
Madison,29,1,5,96.1
Marion,38,1,8,458.22
McDuffie,53,4,16,245.4
McIntosh,9,0,2,61.78
Meriwether,72,1,10,342.53
Miller,36,0,2,624.57
Mitchell,387,32,74,1754.62
Monroe,45,4,8,162.3
Montgomery,5,0,1,54.21
Morgan,33,0,4,172.43
Murray,57,1,7,141.58
Muscogee,412,15,80,215
Newton,263,8,45,234.08
Non-Georgia Resident,1578,23,83,0
Oconee,80,0,10,191.68
Oglethorpe,55,4,10,360.89
Paulding,236,10,57,136.78
Peach,69,2,17,252.05
Pickens,35,3,10,104.38
Pierce,69,4,17,353.03
Pike,44,2,8,233.3
Polk,71,0,11,163.29
Pulaski,36,1,6,330.49
Putnam,60,6,13,274.16
Quitman,7,1,4,305.14
Rabun,14,1,5,82.42
Randolph,169,21,28,2502.22
Richmond,480,17,125,237.34
Rockdale,250,7,61,263.27
Schley,15,1,7,284.36
Screven,18,1,9,129.5
Seminole,38,2,8,466.83
Spalding,238,12,40,344.38
Stephens,94,1,22,357.03
Stewart,37,0,12,603.69
Sumter,412,38,110,1401.41
Talbot,28,1,11,454.69
Taliaferro,1,0,0,61.27
Tattnall,11,0,2,43.29
Taylor,22,2,8,276.45
Telfair,29,1,4,185.37
Terrell,199,24,36,2350.3
Thomas,281,28,55,632.44
Tift,170,10,42,416.36
Toombs,43,4,9,159.36
Towns,21,1,7,174.51
Treutlen,7,0,0,102.5
Troup,195,5,53,276.93
Turner,81,12,14,1002.97
Twiggs,9,0,3,111.3
Union,36,1,10,142.1
Unknown,1854,0,34,0
Upson,255,27,29,970.43
Walker,74,0,1,106.31
Walton,158,7,25,164.9
Ware,168,12,42,468.58
Warren,16,0,5,307.1
Washington,63,1,6,310.31
Wayne,14,0,2,46.71
Webster,11,1,4,431.37
Wheeler,7,0,0,88.51
White,88,2,19,277.1
Whitfield,175,6,19,167.19
Wilcox,98,12,15,1114.9
Wilkes,28,1,6,279.61
Wilkinson,40,3,13,448.48
Worth,193,17,35,958.2
