county_resident,Population,Positive,DEATHS,HOSPITALIZATION
Appling,18561,72,6,12
Atkinson,8330,9,1,3
Bacon,11404,25,1,3
Baker,3116,23,2,8
Baldwin,44428,226,8,43
Banks,19982,25,0,7
Barrow,86383,141,4,42
Bartow,110771,320,31,119
Ben Hill,16645,26,0,2
Berrien,19276,17,0,1
Bibb,152150,312,10,89
Bleckley,12838,19,0,0
Brantley,19202,23,2,1
Brooks,15727,59,6,4
Bryan,39137,54,3,17
Bulloch,79467,40,2,8
Burke,22342,86,3,15
Butts,25174,153,14,16
Calhoun,6317,103,4,7
Camden,53924,33,1,6
Candler,10837,7,0,1
Carroll,120119,375,14,71
Catoosa,68771,47,0,5
Charlton,13251,11,0,3
Chatham,292176,230,9,55
Chattahoochee,10749,12,0,5
Chattooga,24766,16,2,3
Cherokee,266617,476,13,89
Clarke,129779,155,13,30
Clay,2855,23,3,4
Clayton,304838,724,33,138
Clinch,6656,8,0,2
Cobb,790588,1672,94,476
Coffee,43042,141,7,40
Colquitt,45393,187,9,11
Columbia,158631,162,4,25
Cook,17437,25,1,5
Coweta,152001,209,4,37
Crawford,12228,17,0,4
Crisp,22289,167,3,33
Dade,16162,16,1,3
Dawson,27021,61,1,12
DeKalb,793154,2065,47,398
Decatur,26322,86,1,10
Dodge,20385,28,1,6
Dooly,13400,129,9,35
Dougherty,89905,1531,123,310
Douglas,151906,325,11,97
Early,10146,213,20,10
Echols,3969,5,0,0
Effingham,64026,36,1,11
Elbert,18945,23,0,2
Emanuel,22664,21,0,3
Evans,10687,5,0,0
Fannin,26320,30,1,4
Fayette,117544,177,10,34
Floyd,99916,145,11,37
Forsyth,252507,308,10,42
Franklin,23329,19,1,5
Fulton,1099181,2880,121,542
Gilmer,31417,69,0,13
Glynn,86047,58,1,11
Gordon,58049,112,12,26
Grady,24540,64,4,18
Greene,18717,54,2,17
Gwinnett,971145,1843,58,360
Habersham,45800,325,8,49
Hall,206349,1466,22,198
Hancock,8193,51,2,9
Haralson,30722,29,1,7
Harris,34712,61,2,9
Hart,26107,11,0,0
Heard,12370,11,1,3
Henry,239866,492,13,59
Houston,157039,234,14,74
Irwin,9433,15,1,2
Jackson,74700,97,2,17
Jasper,14199,22,0,3
Jeff Davis,15148,20,1,4
Jefferson,15313,14,1,2
Jenkins,8576,16,1,4
Johnson,9661,51,2,10
Jones,28591,29,0,4
Lamar,19347,38,1,4
Lanier,10351,9,1,4
Laurens,47296,62,1,12
Lee,29971,321,20,46
Liberty,61904,37,0,11
Lincoln,8125,12,0,5
Long,19915,5,0,2
Lowndes,117878,156,4,28
Lumpkin,33802,46,2,10
Macon,12988,81,3,28
Madison,30177,24,1,5
Marion,8293,42,1,8
McDuffie,21597,45,4,13
McIntosh,14567,6,0,2
Meriwether,21020,53,0,9
Miller,5764,33,0,1
Mitchell,22056,318,31,69
Monroe,27727,24,3,7
Montgomery,9224,2,0,1
Morgan,19138,27,0,3
Murray,40261,32,0,5
Muscogee,191626,313,7,55
Newton,112354,200,7,35
Non-Georgia Resident,0,1080,14,66
Oconee,41737,66,0,9
Oglethorpe,15240,49,3,11
Paulding,172542,190,8,52
Peach,27375,52,2,15
Pickens,33530,25,2,8
Pierce,19545,55,3,15
Pike,18860,40,2,7
Polk,43482,59,0,11
Pulaski,10893,31,1,7
Putnam,21885,42,5,8
Quitman,2294,4,1,3
Rabun,16986,14,0,6
Randolph,6754,161,19,26
Richmond,202240,411,15,116
Rockdale,94960,191,6,44
Schley,5275,16,1,7
Screven,13900,15,1,6
Seminole,8140,29,2,7
Spalding,69110,211,10,36
Stephens,26328,81,1,21
Stewart,6129,24,0,7
Sumter,29399,382,28,97
Talbot,6158,26,1,13
Taliaferro,1632,0,0,0
Tattnall,25411,9,0,1
Taylor,7958,17,2,8
Telfair,15644,28,0,5
Terrell,8467,184,19,31
Thomas,44431,190,19,45
Tift,40830,122,5,34
Toombs,26983,31,3,8
Towns,12034,22,1,7
Treutlen,6829,3,0,0
Troup,70414,150,4,43
Turner,8076,68,8,10
Twiggs,8086,8,0,3
Union,25335,33,1,10
Unknown,,652,0,37
Upson,26277,222,18,21
Walker,69610,60,0,1
Walton,95814,129,4,21
Ware,35853,127,11,37
Warren,5210,12,0,3
Washington,20302,43,1,4
Wayne,29974,13,0,2
Webster,2550,10,2,5
Wheeler,7909,5,0,0
White,31758,63,0,18
Whitfield,104672,111,4,15
Wilcox,8790,90,9,15
Wilkes,10014,25,0,5
Wilkinson,8919,35,2,13
Worth,20142,158,11,31
